subject,kHz,pre_post,level,response_lvl
ger12_22,3,pre,16,26.65
ger12_22,3,pre,40,20.7
ger12_22,3,pre,110,17.55
ger12_22,3,pre,256,9.622
ger12_22,3,pre,512,11
ger12_22,3,pre,724,8.669
ger12_22,3,pre,1024,3.677
ger12_22,3,pre,1448,0.6972
ger12_22,8,pre,16,20
ger12_22,8,pre,40,18.46
ger12_22,8,pre,110,6.929
ger12_22,8,pre,256,5.827
ger12_22,8,pre,512,4.102
ger12_22,8,pre,724,1.306
ger12_22,8,pre,1024,0.6931
ger12_22,8,pre,1448,0.1206
ger12_22,8,pre,2048,0.1241
ger12_22,8,pre,2896,0.1752
ger12_22,8,pre,4098,0.3108
ger13_22,3,pre,16,15.46
ger13_22,3,pre,40,5.285
ger13_22,3,pre,110,11.92
ger13_22,3,pre,256,10.02
ger13_22,3,pre,512,8.499
ger13_22,3,pre,724,5.272
ger13_22,3,pre,1024,0.9384
ger13_22,3,pre,1448,0.2691
ger13_22,8,pre,16,20.9
ger13_22,8,pre,40,13.45
ger13_22,8,pre,110,11.84
ger13_22,8,pre,256,13.3
ger13_22,8,pre,512,6.708
ger13_22,8,pre,724,5.427
ger13_22,8,pre,1024,2.131
ger13_22,8,pre,1448,0.3185
ger13_22,8,pre,2048,0.468
ger13_22,8,pre,2896,0.7017
ger13_22,8,pre,4098,1.644
ger14_22,3,pre,16,24.02
ger14_22,3,pre,40,36.86
ger14_22,3,pre,110,23.41
ger14_22,3,pre,256,8.58
ger14_22,3,pre,512,23.05
ger14_22,3,pre,724,4.291
ger14_22,3,pre,1024,6.231
ger14_22,3,pre,1448,0.7796
ger14_22,8,pre,16,12.04
ger14_22,8,pre,40,18.82
ger14_22,8,pre,110,17.48
ger14_22,8,pre,256,12.03
ger14_22,8,pre,512,31.91
ger14_22,8,pre,724,7.317
ger14_22,8,pre,1024,7.121
ger14_22,8,pre,1448,3.314
ger14_22,8,pre,2048,452.9
ger14_22,8,pre,2896,0.05841
ger14_22,8,pre,4098,0.5133
ger15_22,3,pre,16,10.87
ger15_22,3,pre,40,27.65
ger15_22,3,pre,110,8.191
ger15_22,3,pre,256,4.739
ger15_22,3,pre,512,3.626
ger15_22,3,pre,724,1.397
ger15_22,3,pre,1024,0.645
ger15_22,3,pre,1448,0.6547
ger15_22,8,pre,16,18.34
ger15_22,8,pre,40,25.02
ger15_22,8,pre,110,16.8
ger15_22,8,pre,256,11.04
ger15_22,8,pre,512,9.33
ger15_22,8,pre,724,3.105
ger15_22,8,pre,1024,0.6204
ger15_22,8,pre,1448,0.5215
ger15_22,8,pre,2048,0.05187
ger15_22,8,pre,2896,0.2523
ger15_22,8,pre,4098,0.9763
ger12_22,3,post,16,22.01
ger12_22,3,post,40,10.02
ger12_22,3,post,110,10.05
ger12_22,3,post,256,1.474
ger12_22,3,post,512,7.19
ger12_22,3,post,724,0.4009
ger12_22,3,post,1024,1.908
ger12_22,3,post,1448,0.3414
ger12_22,8,post,16,7.165
ger12_22,8,post,40,22.56
ger12_22,8,post,110,9.338
ger12_22,8,post,256,3.488
ger12_22,8,post,512,8.992
ger12_22,8,post,724,3.901
ger12_22,8,post,1024,2.07
ger12_22,8,post,1448,0.4338
ger12_22,8,post,2048,0.06098
ger12_22,8,post,2896,0.2657
ger12_22,8,post,4098,0.0907
ger13_22,3,post,16,16.62
ger13_22,3,post,40,11.57
ger13_22,3,post,110,5.774
ger13_22,3,post,256,2.274
ger13_22,3,post,512,4.492
ger13_22,3,post,724,0.5959
ger13_22,3,post,1024,1.762
ger13_22,3,post,1448,0.2646
ger13_22,8,post,16,9.339
ger13_22,8,post,40,7.975
ger13_22,8,post,110,7.127
ger13_22,8,post,256,8.132
ger13_22,8,post,512,5.776
ger13_22,8,post,724,4.151
ger13_22,8,post,1024,0.7934
ger13_22,8,post,1448,0.1947
ger13_22,8,post,2048,0.2984
ger13_22,8,post,2896,0.2705
ger13_22,8,post,4098,0.4481
ger14_22,3,post,16,10.75
ger14_22,3,post,40,17.06
ger14_22,3,post,110,5.567
ger14_22,3,post,256,5.967
ger14_22,3,post,512,3.368
ger14_22,3,post,724,0.9695
ger14_22,3,post,1024,2.194
ger14_22,3,post,1448,0.4424
ger14_22,8,post,16,6.934
ger14_22,8,post,40,7.83
ger14_22,8,post,110,6.434
ger14_22,8,post,256,8.197
ger14_22,8,post,512,5.657
ger14_22,8,post,724,3.014
ger14_22,8,post,1024,1.211
ger14_22,8,post,1448,0.04748
ger14_22,8,post,2048,0.2126
ger14_22,8,post,2896,0.0468
ger14_22,8,post,4098,0.4001
ger15_22,3,post,16,14.21
ger15_22,3,post,40,11.42
ger15_22,3,post,110,7.169
ger15_22,3,post,256,3.42
ger15_22,3,post,512,7.777
ger15_22,3,post,724,1.565
ger15_22,3,post,1024,1.777
ger15_22,3,post,1448,0.6563
ger15_22,8,post,16,10.5
ger15_22,8,post,40,8.288
ger15_22,8,post,110,3.779
ger15_22,8,post,256,8.169
ger15_22,8,post,512,8.197
ger15_22,8,post,724,10.12
ger15_22,8,post,1024,1.441
ger15_22,8,post,1448,0.6566
ger15_22,8,post,2048,0.5691
ger15_22,8,post,2896,0.3261
ger15_22,8,post,4098,1.819
