subject,AM,pre_post,efr_lvl,response_lvl
ger12_22,3kHz 40Hz AM,pre,20,19.65
ger12_22,3kHz 40Hz AM,pre,30,8.949
ger12_22,3kHz 40Hz AM,pre,40,8.508
ger12_22,3kHz 40Hz AM,pre,50,14.03
ger12_22,3kHz 40Hz AM,pre,60,16.26
ger12_22,3kHz 40Hz AM,pre,70,19.83
ger12_22,3kHz 40Hz AM,pre,80,33.2
ger12_22,3kHz 40Hz AM,pre,90,23.15
ger12_22,3kHz 40Hz AM,pre,100,34.71
ger12_22,3kHz 40Hz AM,post,20,14.38
ger12_22,3kHz 40Hz AM,post,30,7.044
ger12_22,3kHz 40Hz AM,post,40,4
ger12_22,3kHz 40Hz AM,post,50,25.29
ger12_22,3kHz 40Hz AM,post,60,7.495
ger12_22,3kHz 40Hz AM,post,70,20.19
ger12_22,3kHz 40Hz AM,post,80,15.88
ger12_22,3kHz 40Hz AM,post,90,28.54
ger12_22,3kHz 40Hz AM,post,100,36.43
ger12_22,3kHz 512Hz AM,pre,20,0.2185
ger12_22,3kHz 512Hz AM,pre,30,0.8996
ger12_22,3kHz 512Hz AM,pre,40,3.569
ger12_22,3kHz 512Hz AM,pre,50,5.204
ger12_22,3kHz 512Hz AM,pre,60,4.505
ger12_22,3kHz 512Hz AM,pre,70,5.326
ger12_22,3kHz 512Hz AM,pre,80,8.227
ger12_22,3kHz 512Hz AM,pre,90,16.08
ger12_22,3kHz 512Hz AM,pre,100,24.6
ger12_22,3kHz 512Hz AM,post,20,0.2613
ger12_22,3kHz 512Hz AM,post,30,424.3
ger12_22,3kHz 512Hz AM,post,40,4.154
ger12_22,3kHz 512Hz AM,post,50,8.03
ger12_22,3kHz 512Hz AM,post,60,9.507
ger12_22,3kHz 512Hz AM,post,70,10.57
ger12_22,3kHz 512Hz AM,post,80,9.742
ger12_22,3kHz 512Hz AM,post,90,23.65
ger12_22,3kHz 512Hz AM,post,100,37.54
ger12_22,3kHz 1024Hz AM,pre,20,0.1603
ger12_22,3kHz 1024Hz AM,pre,30,0.0125
ger12_22,3kHz 1024Hz AM,pre,40,0.5789
ger12_22,3kHz 1024Hz AM,pre,50,1.188
ger12_22,3kHz 1024Hz AM,pre,60,2.275
ger12_22,3kHz 1024Hz AM,pre,70,3.849
ger12_22,3kHz 1024Hz AM,pre,80,6.877
ger12_22,3kHz 1024Hz AM,pre,90,8.176
ger12_22,3kHz 1024Hz AM,pre,100,6.944
ger12_22,3kHz 1024Hz AM,post,20,0.6169
ger12_22,3kHz 1024Hz AM,post,30,0.8623
ger12_22,3kHz 1024Hz AM,post,40,0.3435
ger12_22,3kHz 1024Hz AM,post,50,1.498
ger12_22,3kHz 1024Hz AM,post,60,1.854
ger12_22,3kHz 1024Hz AM,post,70,3.597
ger12_22,3kHz 1024Hz AM,post,80,4.667
ger12_22,3kHz 1024Hz AM,post,90,4.78
ger12_22,3kHz 1024Hz AM,post,100,5.294
ger15_22,3kHz 40Hz AM,pre,20,11.79
ger15_22,3kHz 40Hz AM,pre,30,8.521
ger15_22,3kHz 40Hz AM,pre,40,11.17
ger15_22,3kHz 40Hz AM,pre,50,11.31
ger15_22,3kHz 40Hz AM,pre,60,13.13
ger15_22,3kHz 40Hz AM,pre,70,18.33
ger15_22,3kHz 40Hz AM,pre,80,17.25
ger15_22,3kHz 40Hz AM,pre,90,19.22
ger15_22,3kHz 40Hz AM,pre,100,39.9903
ger15_22,3kHz 40Hz AM,post,20,0.1266
ger15_22,3kHz 40Hz AM,post,30,0.6669
ger15_22,3kHz 40Hz AM,post,40,0.1697
ger15_22,3kHz 40Hz AM,post,50,0.3307
ger15_22,3kHz 40Hz AM,post,60,0.1127
ger15_22,3kHz 40Hz AM,post,70,0.1193
ger15_22,3kHz 40Hz AM,post,80,0.1506
ger15_22,3kHz 40Hz AM,post,90,0.2822
ger15_22,3kHz 40Hz AM,post,100,0.1713
ger15_22,3kHz 512Hz AM,pre,20,0.0278
ger15_22,3kHz 512Hz AM,pre,30,0.2158
ger15_22,3kHz 512Hz AM,pre,40,2.407
ger15_22,3kHz 512Hz AM,pre,50,5.553
ger15_22,3kHz 512Hz AM,pre,60,4.927
ger15_22,3kHz 512Hz AM,pre,70,4.916
ger15_22,3kHz 512Hz AM,pre,80,8.081
ger15_22,3kHz 512Hz AM,pre,90,17.47
ger15_22,3kHz 512Hz AM,pre,100,16.11
ger15_22,3kHz 512Hz AM,post,20,0.1202
ger15_22,3kHz 512Hz AM,post,30,0.2292
ger15_22,3kHz 512Hz AM,post,40,4.009
ger15_22,3kHz 512Hz AM,post,50,9.741
ger15_22,3kHz 512Hz AM,post,60,8.085
ger15_22,3kHz 512Hz AM,post,70,7.04
ger15_22,3kHz 512Hz AM,post,80,0.529
ger15_22,3kHz 512Hz AM,post,90,3.712
ger15_22,3kHz 512Hz AM,post,100,8.013
ger15_22,3kHz 1024Hz AM,pre,20,0.2702
ger15_22,3kHz 1024Hz AM,pre,30,0.1025
ger15_22,3kHz 1024Hz AM,pre,40,0.7509
ger15_22,3kHz 1024Hz AM,pre,50,1.286
ger15_22,3kHz 1024Hz AM,pre,60,1.451
ger15_22,3kHz 1024Hz AM,pre,70,0.3195
ger15_22,3kHz 1024Hz AM,pre,80,1.074
ger15_22,3kHz 1024Hz AM,pre,90,2.164
ger15_22,3kHz 1024Hz AM,pre,100,2.187
